!SIL	SIL
<SPOKEN_NOISE>	SPN
사키로미터정체됩니다	f9 m0 f15 m20 f5 m8 f6 m20 f16 m4 f12 m4 e20 f14 m5 f3 m11 e16 f2 m20 f3 m0
사킬로미터	f9 m0 f15 m20 e7 f5 m8 f6 m20 f16 m4
사태	f9 m0 f16 m1
사태가	f9 m0 f16 m1 f0 m0
사태는	f9 m0 f16 m1 f2 m18 e3
사태를	f9 m0 f16 m1 f5 m18 e7
사태에	f9 m0 f16 m1 f11 m5
사토라레가	f9 m0 f16 m8 f5 m0 f5 m5 f0 m0
사토라레입니다	f9 m0 f16 m8 f5 m0 f5 m5 f11 m20 e16 f2 m20 f3 m0
사퇴	f9 m0 f16 m11
사퇴가	f9 m0 f16 m11 f0 m0
사퇴의사	f9 m0 f16 m11 f11 m19 f9 m0
사퇴임박	f9 m0 f16 m11 f11 m20 e15 f7 m0 e0
사퇴입니다	f9 m0 f16 m11 f11 m20 e16 f2 m20 f3 m0
사퇴하겠다가	f9 m0 f16 m11 f18 m0 f0 m5 e19 f3 m0 f0 m0
사파리에요	f9 m0 f17 m0 f5 m20 f11 m5 f11 m12
사파리입니다	f9 m0 f17 m0 f5 m20 f11 m20 e16 f2 m20 f3 m0
사팔	f9 m0 f17 m0 e7
사퍼센트	f9 m0 f17 m4 f9 m5 e3 f16 m18
사퍼센트가	f9 m0 f17 m4 f9 m5 e3 f16 m18 f0 m0
사퍼센트상승이에요	f9 m0 f17 m4 f9 m5 e3 f16 m18 f9 m0 e20 f9 m18 e20 f11 m20 f11 m5 f11 m12
사퍼센트에요	f9 m0 f17 m4 f9 m5 e3 f16 m18 f11 m5 f11 m12
사퍼센트의	f9 m0 f17 m4 f9 m5 e3 f16 m18 f11 m19
사퍼센트이고	f9 m0 f17 m4 f9 m5 e3 f16 m18 f11 m20 f0 m8
사퍼센트입니다	f9 m0 f17 m4 f9 m5 e3 f16 m18 f11 m20 e16 f2 m20 f3 m0
사평	f9 m0 f17 m6 e20
사평아파트가	f9 m0 f17 m6 e20 f11 m0 f17 m0 f16 m18 f0 m0
사평이	f9 m0 f17 m6 e20 f11 m20
사포인트	f9 m0 f17 m8 f11 m20 e3 f16 m18
사포인트가	f9 m0 f17 m8 f11 m20 e3 f16 m18 f0 m0
사포인트에요	f9 m0 f17 m8 f11 m20 e3 f16 m18 f11 m5 f11 m12
사포인트입니다	f9 m0 f17 m8 f11 m20 e3 f16 m18 f11 m20 e16 f2 m20 f3 m0
사표를	f9 m0 f17 m12 f5 m18 e7
사품목	f9 m0 f17 m13 e15 f6 m8 e0
사프로	f9 m0 f17 m18 f5 m8
사프로가	f9 m0 f17 m18 f5 m8 f0 m0
사프로에요	f9 m0 f17 m18 f5 m8 f11 m5 f11 m12
사프로이고	f9 m0 f17 m18 f5 m8 f11 m20 f0 m8
사프로입니다	f9 m0 f17 m18 f5 m8 f11 m20 e16 f2 m20 f3 m0
사항	f9 m0 f18 m0 e20
사항에	f9 m0 f18 m0 e20 f11 m5
사항으로	f9 m0 f18 m0 e20 f11 m18 f5 m8
사항은	f9 m0 f18 m0 e20 f11 m18 e3
사항을	f9 m0 f18 m0 e20 f11 m18 e7
사항이	f9 m0 f18 m0 e20 f11 m20
사형수들이	f9 m0 f18 m6 e20 f9 m13 f3 m18 e7 f11 m20
사호선을	f9 m0 f18 m8 f9 m4 e3 f11 m18 e7
사활건	f9 m0 f18 m9 e7 f0 m4 e3
사황	f9 m0 f18 m9 e20
사회	f9 m0 f18 m11
사회가	f9 m0 f18 m11 f0 m0
사회관련기사를	f9 m0 f18 m11 f0 m9 e3 f5 m6 e3 f0 m20 f9 m0 f5 m18 e7
사회까지	f9 m0 f18 m11 f1 m0 f12 m20
사회뉴스	f9 m0 f18 m11 f2 m17 f9 m18
사회뉴스는	f9 m0 f18 m11 f2 m17 f9 m18 f2 m18 e3
사회뉴스도	f9 m0 f18 m11 f2 m17 f9 m18 f3 m8
사회뉴스로	f9 m0 f18 m11 f2 m17 f9 m18 f5 m8
사회뉴스를	f9 m0 f18 m11 f2 m17 f9 m18 f5 m18 e7
사회뉴스에	f9 m0 f18 m11 f2 m17 f9 m18 f11 m5
사회뉴스에는	f9 m0 f18 m11 f2 m17 f9 m18 f11 m5 f2 m18 e3
사회뉴스에요	f9 m0 f18 m11 f2 m17 f9 m18 f11 m5 f11 m12
사회뉴스입니다	f9 m0 f18 m11 f2 m17 f9 m18 f11 m20 e16 f2 m20 f3 m0
사회는	f9 m0 f18 m11 f2 m18 e3
사회를	f9 m0 f18 m11 f5 m18 e7
사회면	f9 m0 f18 m11 f6 m6 e3
사회면은	f9 m0 f18 m11 f6 m6 e3 f11 m18 e3
사회면을	f9 m0 f18 m11 f6 m6 e3 f11 m18 e7
사회문화	f9 m0 f18 m11 f6 m13 e3 f18 m9
사회부분은	f9 m0 f18 m11 f7 m13 f7 m13 e3 f11 m18 e3
사회부쪽도	f9 m0 f18 m11 f7 m13 f13 m8 e0 f3 m8
사회분야	f9 m0 f18 m11 f7 m13 e3 f11 m2
사회분야의	f9 m0 f18 m11 f7 m13 e3 f11 m2 f11 m19
사회분야입니다	f9 m0 f18 m11 f7 m13 e3 f11 m2 f11 m20 e16 f2 m20 f3 m0
사회에	f9 m0 f18 m11 f11 m5
사회에서	f9 m0 f18 m11 f11 m5 f9 m4
사회의	f9 m0 f18 m11 f11 m19
사회적	f9 m0 f18 m11 f12 m4 e0
사회적으로	f9 m0 f18 m11 f12 m4 e0 f11 m18 f5 m8
사회적인	f9 m0 f18 m11 f12 m4 e0 f11 m20 e3
사회주의	f9 m0 f18 m11 f12 m13 f11 m19
사회쪽	f9 m0 f18 m11 f13 m8 e0
사회쪽에	f9 m0 f18 m11 f13 m8 e0 f11 m5
사회쪽으론	f9 m0 f18 m11 f13 m8 e0 f11 m18 f5 m8 e3
사회쪽은	f9 m0 f18 m11 f13 m8 e0 f11 m18 e3
사후처리	f9 m0 f18 m13 f14 m4 f5 m20
사흘	f9 m0 f18 m18 e7
사흘동안	f9 m0 f18 m18 e7 f3 m8 e20 f11 m0 e3
사흘째	f9 m0 f18 m18 e7 f13 m1
삭	f9 m0 e0
삭게	f9 m0 e0 f0 m5
삭세	f9 m0 e0 f9 m5
삭재해줘	f9 m0 e0 f12 m1 f18 m1 f12 m14
삭제	f9 m0 e0 f12 m5
삭제도	f9 m0 e0 f12 m5 f3 m8
삭제되었습니다	f9 m0 e0 f12 m5 f3 m11 f11 m4 e19 f9 m18 e16 f2 m20 f3 m0
삭제되었어요	f9 m0 e0 f12 m5 f3 m11 f11 m4 e19 f11 m4 f11 m12
삭제되었으면	f9 m0 e0 f12 m5 f3 m11 f11 m4 e19 f11 m18 f6 m6 e3
삭제를	f9 m0 e0 f12 m5 f5 m18 e7
삭제시켜	f9 m0 e0 f12 m5 f9 m20 f15 m6
삭제시켜주겠니	f9 m0 e0 f12 m5 f9 m20 f15 m6 f12 m13 f0 m5 e19 f2 m20
삭제시켜주고	f9 m0 e0 f12 m5 f9 m20 f15 m6 f12 m13 f0 m8
삭제시켜주렴	f9 m0 e0 f12 m5 f9 m20 f15 m6 f12 m13 f5 m6 e15
삭제시켜줄래	f9 m0 e0 f12 m5 f9 m20 f15 m6 f12 m13 e7 f5 m1
삭제시켜줘	f9 m0 e0 f12 m5 f9 m20 f15 m6 f12 m14
삭제시켜줘라	f9 m0 e0 f12 m5 f9 m20 f15 m6 f12 m14 f5 m0
삭제시킵니다	f9 m0 e0 f12 m5 f9 m20 f15 m20 e16 f2 m20 f3 m0
삭제하겠습니다	f9 m0 e0 f12 m5 f18 m0 f0 m5 e19 f9 m18 e16 f2 m20 f3 m0
삭제하고	f9 m0 e0 f12 m5 f18 m0 f0 m8
삭제하기	f9 m0 e0 f12 m5 f18 m0 f0 m20
삭제하는	f9 m0 e0 f12 m5 f18 m0 f2 m18 e3
삭제하라고	f9 m0 e0 f12 m5 f18 m0 f5 m0 f0 m8
삭제하려고	f9 m0 e0 f12 m5 f18 m0 f5 m6 f0 m8
삭제하렴	f9 m0 e0 f12 m5 f18 m0 f5 m6 e15
삭제하면	f9 m0 e0 f12 m5 f18 m0 f6 m6 e3
삭제하시겠습니까	f9 m0 e0 f12 m5 f18 m0 f9 m20 f0 m5 e19 f9 m18 e16 f2 m20 f1 m0
삭제하였습니다	f9 m0 e0 f12 m5 f18 m0 f11 m6 e19 f9 m18 e16 f2 m20 f3 m0
삭제하였어요	f9 m0 e0 f12 m5 f18 m0 f11 m6 e19 f11 m4 f11 m12
삭제하자	f9 m0 e0 f12 m5 f18 m0 f12 m0
삭제할	f9 m0 e0 f12 m5 f18 m0 e7
삭제할거야	f9 m0 e0 f12 m5 f18 m0 e7 f0 m4 f11 m2
삭제할게요	f9 m0 e0 f12 m5 f18 m0 e7 f0 m5 f11 m12
삭제할까요	f9 m0 e0 f12 m5 f18 m0 e7 f1 m0 f11 m12
삭제할꺼야	f9 m0 e0 f12 m5 f18 m0 e7 f1 m4 f11 m2
삭제할라고	f9 m0 e0 f12 m5 f18 m0 e7 f5 m0 f0 m8
삭제할래	f9 m0 e0 f12 m5 f18 m0 e7 f5 m1
삭제합니다	f9 m0 e0 f12 m5 f18 m0 e16 f2 m20 f3 m0
삭제해	f9 m0 e0 f12 m5 f18 m1
삭제해달	f9 m0 e0 f12 m5 f18 m1 f3 m0 e7
삭제해달라고	f9 m0 e0 f12 m5 f18 m1 f3 m0 e7 f5 m0 f0 m8
삭제해달래	f9 m0 e0 f12 m5 f18 m1 f3 m0 e7 f5 m1
삭제해도	f9 m0 e0 f12 m5 f18 m1 f3 m8
삭제해드릴까요	f9 m0 e0 f12 m5 f18 m1 f3 m18 f5 m20 e7 f1 m0 f11 m12
삭제해라	f9 m0 e0 f12 m5 f18 m1 f5 m0
삭제해버려	f9 m0 e0 f12 m5 f18 m1 f7 m4 f5 m6
삭제해버려라	f9 m0 e0 f12 m5 f18 m1 f7 m4 f5 m6 f5 m0
삭제해봐	f9 m0 e0 f12 m5 f18 m1 f7 m9
삭제해야	f9 m0 e0 f12 m5 f18 m1 f11 m2
삭제해야겠는데	f9 m0 e0 f12 m5 f18 m1 f11 m2 f0 m5 e19 f2 m18 e3 f3 m5
삭제해야겠어	f9 m0 e0 f12 m5 f18 m1 f11 m2 f0 m5 e19 f11 m4
삭제해야돼	f9 m0 e0 f12 m5 f18 m1 f11 m2 f3 m10
삭제해야지	f9 m0 e0 f12 m5 f18 m1 f11 m2 f12 m20
삭제해조	f9 m0 e0 f12 m5 f18 m1 f12 m8
삭제해주겠니	f9 m0 e0 f12 m5 f18 m1 f12 m13 f0 m5 e19 f2 m20
삭제해주겠어	f9 m0 e0 f12 m5 f18 m1 f12 m13 f0 m5 e19 f11 m4
삭제해주고	f9 m0 e0 f12 m5 f18 m1 f12 m13 f0 m8
삭제해주기	f9 m0 e0 f12 m5 f18 m1 f12 m13 f0 m20
삭제해주라	f9 m0 e0 f12 m5 f18 m1 f12 m13 f5 m0
삭제해주렴	f9 m0 e0 f12 m5 f18 m1 f12 m13 f5 m6 e15
삭제해주면	f9 m0 e0 f12 m5 f18 m1 f12 m13 f6 m6 e3
삭제해주세요	f9 m0 e0 f12 m5 f18 m1 f12 m13 f9 m5 f11 m12
삭제해줄	f9 m0 e0 f12 m5 f18 m1 f12 m13 e7
삭제해줄래	f9 m0 e0 f12 m5 f18 m1 f12 m13 e7 f5 m1
삭제해줘	f9 m0 e0 f12 m5 f18 m1 f12 m14
삭제해줘라	f9 m0 e0 f12 m5 f18 m1 f12 m14 f5 m0
삭제해줬으면	f9 m0 e0 f12 m5 f18 m1 f12 m14 e19 f11 m18 f6 m6 e3
삭제해줬음	f9 m0 e0 f12 m5 f18 m1 f12 m14 e19 f11 m18 e15
삭제했습니다	f9 m0 e0 f12 m5 f18 m1 e19 f9 m18 e16 f2 m20 f3 m0
삭제했어요	f9 m0 e0 f12 m5 f18 m1 e19 f11 m4 f11 m12
삭제했으면	f9 m0 e0 f12 m5 f18 m1 e19 f11 m18 f6 m6 e3
산	f9 m0 e3
산다	f9 m0 e3 f3 m0
산다가	f9 m0 e3 f3 m0 f0 m0
산다고	f9 m0 e3 f3 m0 f0 m8
산다구	f9 m0 e3 f3 m0 f0 m13
산다는	f9 m0 e3 f3 m0 f2 m18 e3
산다의	f9 m0 e3 f3 m0 f11 m19
산단	f9 m0 e3 f3 m0 e3
산둥에서	f9 m0 e3 f3 m13 e20 f11 m5 f9 m4
산소	f9 m0 e3 f9 m8
산소에	f9 m0 e3 f9 m8 f11 m5
산소주	f9 m0 e3 f9 m8 f12 m13
산수	f9 m0 e3 f9 m13
산악회	f9 m0 e3 f11 m0 e0 f18 m11
산업	f9 m0 e3 f11 m4 e16
산업비중	f9 m0 e3 f11 m4 e16 f7 m20 f12 m13 e20
산업이에요	f9 m0 e3 f11 m4 e16 f11 m20 f11 m5 f11 m12
산업재해로	f9 m0 e3 f11 m4 e16 f12 m1 f18 m1 f5 m8
산에	f9 m0 e3 f11 m5
산에서	f9 m0 e3 f11 m5 f9 m4
산으로	f9 m0 e3 f11 m18 f5 m8
산은	f9 m0 e3 f11 m18 e3
산을	f9 m0 e3 f11 m18 e7
산이	f9 m0 e3 f11 m20
산정호수	f9 m0 e3 f12 m4 e20 f18 m8 f9 m13
산쩜	f9 m0 e3 f13 m4 e15
산책	f9 m0 e3 f14 m1 e0
산책갈건데	f9 m0 e3 f14 m1 e0 f0 m0 e7 f0 m4 e3 f3 m5
산책로가	f9 m0 e3 f14 m1 e0 f5 m8 f0 m0
산책모드로	f9 m0 e3 f14 m1 e0 f6 m8 f3 m18 f5 m8
산책을	f9 m0 e3 f14 m1 e0 f11 m18 e7
산책이	f9 m0 e3 f14 m1 e0 f11 m20
산책하기가	f9 m0 e3 f14 m1 e0 f18 m0 f0 m20 f0 m0
산책하기에	f9 m0 e3 f14 m1 e0 f18 m0 f0 m20 f11 m5
산책하는	f9 m0 e3 f14 m1 e0 f18 m0 f2 m18 e3
산책할거야	f9 m0 e3 f14 m1 e0 f18 m0 e7 f0 m4 f11 m2
산책해도	f9 m0 e3 f14 m1 e0 f18 m1 f3 m8
산하	f9 m0 e3 f18 m0
산하에	f9 m0 e3 f18 m0 f11 m5
산행	f9 m0 e3 f18 m1 e20
산행가기로	f9 m0 e3 f18 m1 e20 f0 m0 f0 m20 f5 m8
산행시	f9 m0 e3 f18 m1 e20 f9 m20
산행을	f9 m0 e3 f18 m1 e20 f11 m18 e7
산행이니	f9 m0 e3 f18 m1 e20 f11 m20 f2 m20
살	f9 m0 e7
살거야	f9 m0 e7 f0 m4 f11 m2
살건데	f9 m0 e7 f0 m4 e3 f3 m5
살게	f9 m0 e7 f0 m5
살겠다	f9 m0 e7 f0 m5 e19 f3 m0
살고	f9 m0 e7 f0 m8
살고있는	f9 m0 e7 f0 m8 f11 m20 e19 f2 m18 e3
살기	f9 m0 e7 f0 m20
살기가	f9 m0 e7 f0 m20 f0 m0
살까지야	f9 m0 e7 f1 m0 f12 m20 f11 m2
살꺼거든	f9 m0 e7 f1 m4 f0 m4 f3 m18 e3
살다가	f9 m0 e7 f3 m0 f0 m0
살던	f9 m0 e7 f3 m4 e3
살려	f9 m0 e7 f5 m6
살리기	f9 m0 e7 f5 m20 f0 m20
살리는데	f9 m0 e7 f5 m20 f2 m18 e3 f3 m5
살린	f9 m0 e7 f5 m20 e3
살림을	f9 m0 e7 f5 m20 e15 f11 m18 e7
살먹입니다	f9 m0 e7 f6 m4 e0 f11 m20 e16 f2 m20 f3 m0
살며시	f9 m0 e7 f6 m6 f9 m20
살면	f9 m0 e7 f6 m6 e3
살면서	f9 m0 e7 f6 m6 e3 f9 m4
살모넬라균	f9 m0 e7 f6 m8 f2 m5 e7 f5 m0 f0 m17 e3
살빼는	f9 m0 e7 f8 m1 f2 m18 e3
살생부	f9 m0 e7 f9 m1 e20 f7 m13
살아	f9 m0 e7 f11 m0
살아가고	f9 m0 e7 f11 m0 f0 m0 f0 m8
살아가는	f9 m0 e7 f11 m0 f0 m0 f2 m18 e3
살아갈	f9 m0 e7 f11 m0 f0 m0 e7
살아날	f9 m0 e7 f11 m0 f2 m0 e7
살아라가	f9 m0 e7 f11 m0 f5 m0 f0 m0
살아라입니다	f9 m0 e7 f11 m0 f5 m0 f11 m20 e16 f2 m20 f3 m0
살아서	f9 m0 e7 f11 m0 f9 m4
살아야	f9 m0 e7 f11 m0 f11 m2
살아온	f9 m0 e7 f11 m0 f11 m8 e3
살아있는	f9 m0 e7 f11 m0 f11 m20 e19 f2 m18 e3
살았다	f9 m0 e7 f11 m0 e19 f3 m0
살았던	f9 m0 e7 f11 m0 e19 f3 m4 e3
살을	f9 m0 e7 f11 m18 e7
살이	f9 m0 e7 f11 m20
살인	f9 m0 e7 f11 m20 e3
살인마	f9 m0 e7 f11 m20 e3 f6 m0
살인범	f9 m0 e7 f11 m20 e3 f7 m4 e15
살인사건	f9 m0 e7 f11 m20 e3 f9 m0 f0 m4 e3
살인을	f9 m0 e7 f11 m20 e3 f11 m18 e7
살인일지	f9 m0 e7 f11 m20 e3 f11 m20 e7 f12 m20
살지	f9 m0 e7 f12 m20
살짝	f9 m0 e7 f13 m0 e0
살펴	f9 m0 e7 f17 m6
살펴보았다	f9 m0 e7 f17 m6 f7 m8 f11 m0 e19 f3 m0
살펴볼래	f9 m0 e7 f17 m6 f7 m8 e7 f5 m1
살펴봐봐	f9 m0 e7 f17 m6 f7 m9 f7 m9
살펴봐줄래	f9 m0 e7 f17 m6 f7 m9 f12 m13 e7 f5 m1
살펴봐줘	f9 m0 e7 f17 m6 f7 m9 f12 m14
살폈다	f9 m0 e7 f17 m6 e19 f3 m0
살포인트에요	f9 m0 e7 f17 m8 f11 m20 e3 f16 m18 f11 m5 f11 m12
살피고	f9 m0 e7 f17 m20 f0 m8
살해	f9 m0 e7 f18 m1
살해가	f9 m0 e7 f18 m1 f0 m0
살해공범	f9 m0 e7 f18 m1 f0 m8 e20 f7 m4 e15
살해된	f9 m0 e7 f18 m1 f3 m11 e3
살해범	f9 m0 e7 f18 m1 f7 m4 e15
살해지시	f9 m0 e7 f18 m1 f12 m20 f9 m20
살해해	f9 m0 e7 f18 m1 f18 m1
삶	f9 m0 e9
삶과	f9 m0 e9 f0 m9
삶에	f9 m0 e9 f11 m5
삶은	f9 m0 e9 f11 m18 e3
삶은세탁	f9 m0 e9 f11 m18 e3 f9 m5 f16 m0 e0
삶을	f9 m0 e9 f11 m18 e7
삶음	f9 m0 e9 f11 m18 e15
삶음세탁	f9 m0 e9 f11 m18 e15 f9 m5 f16 m0 e0
삶음세탁모드로	f9 m0 e9 f11 m18 e15 f9 m5 f16 m0 e0 f6 m8 f3 m18 f5 m8
삶음세탁으로	f9 m0 e9 f11 m18 e15 f9 m5 f16 m0 e0 f11 m18 f5 m8
삶음세탁한다	f9 m0 e9 f11 m18 e15 f9 m5 f16 m0 e0 f18 m0 e3 f3 m0
삶의	f9 m0 e9 f11 m19
삶이	f9 m0 e9 f11 m20
삼	f9 m0 e15
삼가	f9 m0 e15 f0 m0
삼가에서	f9 m0 e15 f0 m0 f11 m5 f9 m4
삼개	f9 m0 e15 f0 m1
삼개에요	f9 m0 e15 f0 m1 f11 m5 f11 m12
삼개월	f9 m0 e15 f0 m1 f11 m14 e7
삼개월과	f9 m0 e15 f0 m1 f11 m14 e7 f0 m9
삼개월이	f9 m0 e15 f0 m1 f11 m14 e7 f11 m20
삼개월이에요	f9 m0 e15 f0 m1 f11 m14 e7 f11 m20 f11 m5 f11 m12
삼개월입니다	f9 m0 e15 f0 m1 f11 m14 e7 f11 m20 e16 f2 m20 f3 m0
삼개입니다	f9 m0 e15 f0 m1 f11 m20 e16 f2 m20 f3 m0
삼건	f9 m0 e15 f0 m4 e3
삼고	f9 m0 e15 f0 m8
삼골	f9 m0 e15 f0 m8 e7
삼교시	f9 m0 e15 f0 m12 f9 m20
삼교시가	f9 m0 e15 f0 m12 f9 m20 f0 m0
삼교시입니다	f9 m0 e15 f0 m12 f9 m20 f11 m20 e16 f2 m20 f3 m0
삼구역이	f9 m0 e15 f0 m13 f11 m6 e0 f11 m20
삼국	f9 m0 e15 f0 m13 e0
삼국지에	f9 m0 e15 f0 m13 e0 f12 m20 f11 m5
삼년	f9 m0 e15 f2 m6 e3
삼년간	f9 m0 e15 f2 m6 e3 f0 m0 e3
삼년도에	f9 m0 e15 f2 m6 e3 f3 m8 f11 m5
삼년동안	f9 m0 e15 f2 m6 e3 f3 m8 e20 f11 m0 e3
삼년만에	f9 m0 e15 f2 m6 e3 f6 m0 e3 f11 m5
삼년새	f9 m0 e15 f2 m6 e3 f9 m1
삼다시	f9 m0 e15 f3 m0 f9 m20
삼단계	f9 m0 e15 f3 m0 e3 f0 m7
삼단계까지	f9 m0 e15 f3 m0 e3 f0 m7 f1 m0 f12 m20
삼단계로	f9 m0 e15 f3 m0 e3 f0 m7 f5 m8
삼단계만	f9 m0 e15 f3 m0 e3 f0 m7 f6 m0 e3
삼단계정도	f9 m0 e15 f3 m0 e3 f0 m7 f12 m4 e20 f3 m8
삼단지	f9 m0 e15 f3 m0 e3 f12 m20
삼달러가	f9 m0 e15 f3 m0 e7 f5 m4 f0 m0
삼달러에요	f9 m0 e15 f3 m0 e7 f5 m4 f11 m5 f11 m12
삼달러입니다	f9 m0 e15 f3 m0 e7 f5 m4 f11 m20 e16 f2 m20 f3 m0
삼대이로	f9 m0 e15 f3 m1 f11 m20 f5 m8
삼도	f9 m0 e15 f3 m8
삼도가	f9 m0 e15 f3 m8 f0 m0
삼도까지	f9 m0 e15 f3 m8 f1 m0 f12 m20
삼도로	f9 m0 e15 f3 m8 f5 m8
삼도만	f9 m0 e15 f3 m8 f6 m0 e3
삼도면	f9 m0 e15 f3 m8 f6 m6 e3
삼도씨로	f9 m0 e15 f3 m8 f10 m20 f5 m8
삼도에요	f9 m0 e15 f3 m8 f11 m5 f11 m12
삼도였습니다	f9 m0 e15 f3 m8 f11 m6 e19 f9 m18 e16 f2 m20 f3 m0
삼도였어요	f9 m0 e15 f3 m8 f11 m6 e19 f11 m4 f11 m12
삼도였으면	f9 m0 e15 f3 m8 f11 m6 e19 f11 m18 f6 m6 e3
삼도입니다	f9 m0 e15 f3 m8 f11 m20 e16 f2 m20 f3 m0
삼동	f9 m0 e15 f3 m8 e20
삼딸러가	f9 m0 e15 f4 m0 e7 f5 m4 f0 m0
삼딸러에요	f9 m0 e15 f4 m0 e7 f5 m4 f11 m5 f11 m12
삼딸러입니다	f9 m0 e15 f4 m0 e7 f5 m4 f11 m20 e16 f2 m20 f3 m0
삼만	f9 m0 e15 f6 m0 e3
삼만원	f9 m0 e15 f6 m0 e3 f11 m14 e3
삼만원대로	f9 m0 e15 f6 m0 e3 f11 m14 e3 f3 m1 f5 m8
삼만원미만	f9 m0 e15 f6 m0 e3 f11 m14 e3 f6 m20 f6 m0 e3
삼만원을	f9 m0 e15 f6 m0 e3 f11 m14 e3 f11 m18 e7
삼만원이	f9 m0 e15 f6 m0 e3 f11 m14 e3 f11 m20
삼만원이에요	f9 m0 e15 f6 m0 e3 f11 m14 e3 f11 m20 f11 m5 f11 m12
삼만원입니다	f9 m0 e15 f6 m0 e3 f11 m14 e3 f11 m20 e16 f2 m20 f3 m0
삼맞어	f9 m0 e15 f6 m0 e21 f11 m4
삼머	f9 m0 e15 f6 m4
삼명	f9 m0 e15 f6 m6 e20
삼미리미리	f9 m0 e15 f6 m20 f5 m20 f6 m20 f5 m20
삼미리미터입니다	f9 m0 e15 f6 m20 f5 m20 f6 m20 f16 m4 f11 m20 e16 f2 m20 f3 m0
삼미리미터정도입니다	f9 m0 e15 f6 m20 f5 m20 f6 m20 f16 m4 f12 m4 e20 f3 m8 f11 m20 e16 f2 m20 f3 m0
삼박	f9 m0 e15 f7 m0 e0
삼방	f9 m0 e15 f7 m0 e20
삼배속으로	f9 m0 e15 f7 m1 f9 m8 e0 f11 m18 f5 m8
삼백	f9 m0 e15 f7 m1 e0
삼백가구	f9 m0 e15 f7 m1 e0 f0 m0 f0 m13
삼백가구분양입니다	f9 m0 e15 f7 m1 e0 f0 m0 f0 m13 f7 m13 e3 f11 m2 e20 f11 m20 e16 f2 m20 f3 m0
삼백만원	f9 m0 e15 f7 m1 e0 f6 m0 e3 f11 m14 e3
삼백만화소	f9 m0 e15 f7 m1 e0 f6 m0 e3 f18 m9 f9 m8
삼백억원미만	f9 m0 e15 f7 m1 e0 f11 m4 e0 f11 m14 e3 f6 m20 f6 m0 e3
삼백원	f9 m0 e15 f7 m1 e0 f11 m14 e3
삼백원이	f9 m0 e15 f7 m1 e0 f11 m14 e3 f11 m20
삼백원이에요	f9 m0 e15 f7 m1 e0 f11 m14 e3 f11 m20 f11 m5 f11 m12
삼백원입니다	f9 m0 e15 f7 m1 e0 f11 m14 e3 f11 m20 e16 f2 m20 f3 m0
삼번	f9 m0 e15 f7 m4 e3
삼번이야	f9 m0 e15 f7 m4 e3 f11 m20 f11 m2
삼번이에요	f9 m0 e15 f7 m4 e3 f11 m20 f11 m5 f11 m12
삼번입니다	f9 m0 e15 f7 m4 e3 f11 m20 e16 f2 m20 f3 m0
삼보	f9 m0 e15 f7 m8
삼봉	f9 m0 e15 f7 m8 e20
삼봉자연휴양림을	f9 m0 e15 f7 m8 e20 f12 m0 f11 m6 e3 f18 m17 f11 m2 e20 f5 m20 e15 f11 m18 e7
삼분	f9 m0 e15 f7 m13 e3
삼분을	f9 m0 e15 f7 m13 e3 f11 m18 e7
삼분의	f9 m0 e15 f7 m13 e3 f11 m19
삼분이상	f9 m0 e15 f7 m13 e3 f11 m20 f9 m0 e20
삼분이에요	f9 m0 e15 f7 m13 e3 f11 m20 f11 m5 f11 m12
삼분입니다	f9 m0 e15 f7 m13 e3 f11 m20 e16 f2 m20 f3 m0
삼사	f9 m0 e15 f9 m0
삼사입니다	f9 m0 e15 f9 m0 f11 m20 e16 f2 m20 f3 m0
삼산면에	f9 m0 e15 f9 m0 e3 f6 m6 e3 f11 m5
삼산면이에요	f9 m0 e15 f9 m0 e3 f6 m6 e3 f11 m20 f11 m5 f11 m12
삼산면입니다	f9 m0 e15 f9 m0 e3 f6 m6 e3 f11 m20 e16 f2 m20 f3 m0
삼산지구	f9 m0 e15 f9 m0 e3 f12 m20 f0 m13
삼삼면입니다	f9 m0 e15 f9 m0 e15 f6 m6 e3 f11 m20 e16 f2 m20 f3 m0
삼삼이에요	f9 m0 e15 f9 m0 e15 f11 m20 f11 m5 f11 m12
삼삼입니다	f9 m0 e15 f9 m0 e15 f11 m20 e16 f2 m20 f3 m0
삼삽	f9 m0 e15 f9 m0 e16
삼색이	f9 m0 e15 f9 m1 e0 f11 m20
삼선	f9 m0 e15 f9 m4 e3
삼성	f9 m0 e15 f9 m4 e20
삼성과	f9 m0 e15 f9 m4 e20 f0 m9
삼성동	f9 m0 e15 f9 m4 e20 f3 m8 e20
삼성동까지	f9 m0 e15 f9 m4 e20 f3 m8 e20 f1 m0 f12 m20
삼성동에	f9 m0 e15 f9 m4 e20 f3 m8 e20 f11 m5
삼성동의	f9 m0 e15 f9 m4 e20 f3 m8 e20 f11 m19
삼성동이거든	f9 m0 e15 f9 m4 e20 f3 m8 e20 f11 m20 f0 m4 f3 m18 e3
삼성동입니다	f9 m0 e15 f9 m4 e20 f3 m8 e20 f11 m20 e16 f2 m20 f3 m0
삼성몰에서	f9 m0 e15 f9 m4 e20 f6 m8 e7 f11 m5 f9 m4
삼성몰입니다	f9 m0 e15 f9 m4 e20 f6 m8 e7 f11 m20 e16 f2 m20 f3 m0
삼성물산	f9 m0 e15 f9 m4 e20 f6 m13 e7 f9 m0 e3
